Kingdom,Class,Common name,Adult weight (g),Maximum longevity (yrs)
Animalia,Reptilia,Jewelled gecko,6.63,16.0
Animalia,Reptilia,Marbled velvet gecko,15.4,21.2
Animalia,Reptilia,Gray gecko,6.83,37.0
Animalia,Reptilia,Common death adder,384.0,9.3
Animalia,Reptilia,Indian krait,1154.0,17.4
Animalia,Reptilia,"Banded krait, or Red-headed krait",3113.0,13.2
Animalia,Reptilia,Many-banded krait,1154.0,13.7
Animalia,Reptilia,Jameson's mamba,19310.0,13.1
Animalia,Reptilia,Black mamba,30758.0,26.2
Animalia,Reptilia,Western coral snake,56.0,17.6
Animalia,Reptilia,Eastern coral snake,682.0,19.0
Animalia,Reptilia,"Chinese cobra, or Indian spitting cobra, or Golden spitting cobra",1849.0,11.7
Animalia,Reptilia,Egyptian cobra,6796.0,22.1
Animalia,Reptilia,"Indian cobra, or Monocled cobra",3113.0,25.4
Animalia,Reptilia,Black and white cobra,6957.0,29.1
Animalia,Reptilia,Mozambique spitting cobra,8787.0,16.7
Animalia,Reptilia,Blackneck spitting cobra,8787.0,23.2
Animalia,Reptilia,Red spitting cobra,8787.0,20.2
Animalia,Reptilia,"Indonesian cobra, or Indian spitting cobra, or Indochinese spitting cobra",3113.0,13.5
Animalia,Reptilia,King cobra,8000.0,22.5
Animalia,Reptilia,"Coastal taipan, or Taipan",8110.5,15.6
Animalia,Reptilia,"King grown snake, or King brown snake",8144.0,11.1
Animalia,Reptilia,Caucasian sand-boa,196.0,24.7
Animalia,Reptilia,Tartar sand-boa,196.0,24.0
Animalia,Reptilia,Mexican banded gecko,11.2,11.0
Animalia,Reptilia,Western banded gecko,4.56,15.2
Animalia,Reptilia,Leopard gecko,35.53,28.5
Animalia,Reptilia,African fat-tailed gecko,39.17,16.2
Animalia,Reptilia,Namib sand gecko,13.21,10.8
Animalia,Reptilia,Bibron's gecko,12.8,6.1
Animalia,Reptilia,Marbled gecko,3.405,12.8
Animalia,Reptilia,Oceanic dtella,7.9,10.5
Animalia,Reptilia,Tokay gecko,54.13,23.5
Animalia,Reptilia,Mediterranean house gecko,2.53,8.4
Animalia,Reptilia,Prickly gecko,2.18,13.6
Animalia,Reptilia,Seychelles small day gecko,3.6,7.4
Animalia,Reptilia,Blue-tailed day gecko,5.0,9.3
Animalia,Reptilia,Broad-tailed day gecko,2.9,8.7
Animalia,Reptilia,Striped day gecko,3.8,10.0
Animalia,Reptilia,Madagascar day gecko,20.7,13.6
Animalia,Reptilia,Standing's day gecko,214.5,9.6
Animalia,Reptilia,Seychelles giant day gecko,12.35,15.9
Animalia,Reptilia,Beaded lizard,1244.15,34.4
Animalia,Reptilia,Gila monster,553.41,28.9
Animalia,Reptilia,East Indian tentacled snake,131.0,13.6
Animalia,Reptilia,Marine iguana,2227.43,6.4
Animalia,Reptilia,Fiji banded iguana,170.175,5.9
Animalia,Reptilia,Santa Fe land iguana,4200.0,17.1
Animalia,Reptilia,Baker's spinytail iguana,399.4,13.8
Animalia,Reptilia,Cape spinytail iguana,2800.0,9.6
Animalia,Reptilia,Western spiny-tailed iguana,968.0,8.2
Animalia,Reptilia,Black iguana,1034.0,22.4
Animalia,Reptilia,Rhinoceros iguana,16578.1,22.9
Animalia,Reptilia,Andros island iguana,6754.63,23.4
Animalia,Reptilia,Cayman rock iguana,4100.0,47.6
Animalia,Reptilia,Desert iguana,69.5,14.6
Animalia,Reptilia,Common green iguana,1530.0,19.8
Animalia,Reptilia,Northern chuckwalla,230.39,9.3
Animalia,Reptilia,Spiny chuckwalla,811.7,17.2
Animalia,Reptilia,Piebald chuckwalla,1422.35,11.3
Animalia,Reptilia,Desert spiny lizard,35.21,5.9
Animalia,Reptilia,Crevice spiny lizard,30.94,8.0
Animalia,Reptilia,Blue spiny lizard,29.175,6.7
Animalia,Reptilia,Gallot's Canary Island lizard,27.49,5.6
Animalia,Reptilia,Simony's Canary Island lizard,195.995,5.4
Animalia,Reptilia,European green lizard,21.5,10.0
Animalia,Reptilia,Common wall lizard,5.41,10.0
Animalia,Reptilia,Madeira wall lizard,7.29,4.8
Animalia,Reptilia,Jeweled lizard,99.625,17.0
Animalia,Reptilia,Bibron's mole viper,109.0,23.9
Animalia,Reptilia,Stripe-belly sand racer,2381.0,5.8
Animalia,Reptilia,Rufous beaked snake,1528.0,13.3
Animalia,Reptilia,Northern curly-tailed lizard,30.0,10.8
Animalia,Reptilia,Cuvier's Madagascar swift,117.7,21.2
Animalia,Reptilia,Merrem's Madagascar swift,45.4,9.3
Animalia,Reptilia,Colorado desert fringe-toed lizard,22.49,8.1
Animalia,Reptilia,Fan-footed gecko,9.3,10.9
Animalia,Reptilia,Ringed wall gecko,16.605,11.8
Animalia,Reptilia,Common wall gecko,6.54,14.0
Animalia,Reptilia,Children's python,384.0,25.7
Animalia,Reptilia,Black-headed python,6107.0,22.6
Animalia,Reptilia,Bismarck ringed python,2009.0,22.2
Animalia,Reptilia,D'albert's python,8133.5,18.0
Animalia,Reptilia,Brown water python,10592.0,26.8
Animalia,Reptilia,Carpet python,15926.0,19.6
Animalia,Reptilia,Green tree python,3113.0,20.6
Animalia,Reptilia,Blood python,8144.0,27.8
Animalia,Reptilia,Indian python,12370.0,34.2
Animalia,Reptilia,Ball python,8858.0,47.5
Animalia,Reptilia,Reticulated python,32000.0,29.4
Animalia,Reptilia,African rock python,73000.0,27.3
Animalia,Reptilia,Palaearctic eyed skink,39.1,14.0
Animalia,Reptilia,Solomon Island skink,1013.7,24.3
Animalia,Reptilia,Cunningham's skink,262.64,26.5
Animalia,Reptilia,Gidgee skink,198.76,18.2
Animalia,Reptilia,Algerian skink,85.4,22.8
Animalia,Reptilia,Great Plains skink,30.0,7.3
Animalia,Reptilia,Otago skink,40.64,44.0
Animalia,Reptilia,Australian black and yellow skink,562.475,11.5
Animalia,Reptilia,Australian blue-tongued lizard,493.0,26.6
Animalia,Reptilia,Yellowhead gecko,1.865,5.6
Animalia,Reptilia,Common wonder gecko,16.235,12.6
Animalia,Reptilia,Giant ameiva,68.0,4.6
Animalia,Reptilia,Six-lined racerunner,7.9,6.0
Animalia,Reptilia,Western whiptail,18.0,7.8
Animalia,Reptilia,Guyana caiman lizard,1500.0,9.3
Animalia,Reptilia,Columbian tegu,1773.51,16.1
Animalia,Reptilia,Bengal monitor,3750.0,11.2
Animalia,Reptilia,Dumeril monitor,988.0,10.7
Animalia,Reptilia,Bosc's monitor and Savannah monitor,35500.0,12.7
Animalia,Reptilia,Perentie,5333.4,19.7
Animalia,Reptilia,Sand monitor,671.92,18.3
Animalia,Reptilia,Desert monitor,821.1,17.0
Animalia,Reptilia,"Indian monitor lizard, or Indian monitor",1287.0,17.4
Animalia,Reptilia,Komodo dragon,87000.0,62.0
Animalia,Reptilia,Merten's water monitor,1121.2,20.3
Animalia,Reptilia,Nile monitor,2826.67,14.6
Animalia,Reptilia,Gray's monitor lizard,4141.37,15.2
Animalia,Reptilia,New Guinea green tree monitor,237.5,14.2
Animalia,Reptilia,Common water monitor,4345.0,15.7
Animalia,Reptilia,Spotted tree monitor,290.0,14.9
Animalia,Reptilia,Lace monitor,4300.0,14.7
Animalia,Reptilia,Northern copperhead,950.0,29.8
Animalia,Reptilia,Water moccasin,1700.0,24.5
Animalia,Reptilia,Puff adder,2381.0,15.8
Animalia,Reptilia,Gaboon viper,2381.0,18.0
Animalia,Reptilia,Rhinoceros viper,717.0,9.4
Animalia,Reptilia,Urutu,848.0,15.2
Animalia,Reptilia,"Terciopelo, or Fer-de-lance",1037.0,20.4
Animalia,Reptilia,Common lancehead,1037.0,8.5
Animalia,Reptilia,Yara,131.0,15.1
Animalia,Reptilia,Cape viper,308.0,6.6
Animalia,Reptilia,Eastern diamondback rattlesnake,5675.0,22.8
Animalia,Reptilia,Western diamond-backed rattlesnake,6700.0,27.0
Animalia,Reptilia,Sidewinder,211.0,27.3
Animalia,Reptilia,Cascabel rattlesnake,1150.0,19.8
Animalia,Reptilia,Timber rattlesnake,1000.0,30.2
Animalia,Reptilia,"Rock rattlesnake, or New Mexico banded rock rattlesnake",219.0,33.6
Animalia,Reptilia,Northern black-tailed rattlesnake,771.0,20.7
Animalia,Reptilia,Twin-spotted rattlesnake,104.0,15.7
Animalia,Reptilia,Red diamond rattlesnake,3661.0,19.2
Animalia,Reptilia,Mojave rattlesnake,828.0,14.4
Animalia,Reptilia,Tiger rattlesnake,279.0,15.3
Animalia,Reptilia,"Prairie rattlesnake, or Southern Pacific rattlesnake",1647.0,24.1
Animalia,Reptilia,"Ridge-nosed rattlesnake, or Arizona ridge-nosed rattlesnake",100.0,21.3
Animalia,Reptilia,Russell's viper,1306.0,15.0
Animalia,Reptilia,Saw-scaled viper,142.0,23.8
Animalia,Reptilia,Bushmaster,5817.0,31.6
Animalia,Reptilia,Levantine viper,1306.0,13.3
Animalia,Reptilia,Massasauga,384.0,20.0
Animalia,Reptilia,Pigmy rattlesnake,196.0,16.1
Animalia,Reptilia,White-lipped tree viper,414.5,11.4
Animalia,Reptilia,Long-nosed viper,220.0,22.0
Animalia,Reptilia,Asp viper,161.0,25.0
Animalia,Reptilia,Northern palaearctic viper,279.0,19.0
Animalia,Reptilia,Lataste's viper,161.0,9.7
Animalia,Reptilia,Yellow-spotted night lizard,11.3,11.0
Animalia,Reptilia,Granite night lizard,4.02,14.3
Animalia,Reptilia,Island night lizard,14.66,13.9
Animalia,Reptilia,Desert night lizard,1.475,10.9
Animalia,Reptilia,Sunbeam snake,753.0,12.1
Animalia,Reptilia,Pignose turtle,16275.0,38.4
Animalia,Reptilia,Common snake-necked turtle,1293.0,37.0
Animalia,Reptilia,Mata mata,4407.0,35.8
Animalia,Reptilia,Northern Australian snapping turtle,4295.0,21.8
Animalia,Reptilia,Macquarie turtle,1740.0,20.9
Animalia,Reptilia,Dahl's toad-headed turtle,777.0,27.4
Animalia,Reptilia,Serrated snapping turtle,1377.0,26.5
Animalia,Reptilia,Hilaire's side-necked turtle,2380.0,37.4
Animalia,Reptilia,Twistneck turtle,325.0,20.0
Animalia,Reptilia,Loggerhead sea turtle,156500.0,77.0
Animalia,Reptilia,Green sea turtle,160000.0,75.0
Animalia,Reptilia,Atlantic ridley,40500.0,30.2
Animalia,Reptilia,Common snapping turtle,10250.0,47.0
Animalia,Reptilia,Alligator snapping turtle,58500.0,70.3
Animalia,Reptilia,Central american river turtle,12500.0,11.3
Animalia,Reptilia,Leatherback sea turtle,420000.0,30.0
Animalia,Reptilia,"Pacific pond turtle, or Southwestern pond turtle",282.0,27.3
Animalia,Reptilia,Painted turtle,371.8,61.0
Animalia,Reptilia,Spotted turtle,165.4,51.0
Animalia,Reptilia,Chicken turtle,910.5,24.0
Animalia,Reptilia,Blanding's turtle,1162.0,77.0
Animalia,Reptilia,Wood turtle,968.2,60.0
Animalia,Reptilia,Bog turtle,132.1,40.0
Animalia,Reptilia,Barbour's map turtle,1256.0,31.7
Animalia,Reptilia,Black-knobbed map turtle,415.7,20.3
Animalia,Reptilia,Ringed map turtle,918.15,20.3
Animalia,Reptilia,"False map turtle, or Mississippi map turtle",1477.0,35.4
Animalia,Reptilia,Alabama map turtle,1519.0,15.7
Animalia,Reptilia,River cooter,2992.0,44.0
Animalia,Reptilia,Florida red-bellied turtle,3748.5,26.1
Animalia,Reptilia,Eastern box turtle,372.0,138.0
Animalia,Reptilia,Coahuilan box turtle,259.8,18.8
Animalia,Reptilia,Spotted box turtle,372.0,24.9
Animalia,Reptilia,Ornate box turtle,394.5,28.4
Animalia,Reptilia,Common slider,240.0,41.3
Animalia,Reptilia,"Northern river terrapin, or Indian batagur terrapin",17900.0,21.7
Animalia,Reptilia,Southeast Asian box turtle,1000.0,38.2
Animalia,Reptilia,Yellow-margined box turtle,499.0,19.1
Animalia,Reptilia,Asian leaf turtle,1250.0,14.7
Animalia,Reptilia,Spiny turtle,950.0,22.9
Animalia,Reptilia,Japanese pond turtle,494.2,16.2
Animalia,Reptilia,Spanish pond turtle,608.0,24.5
Animalia,Reptilia,Yellow pond turtle,319.5,22.1
Animalia,Reptilia,Reeves' turtle,858.0,24.2
Animalia,Reptilia,Chinese stripe-necked turtle,1241.0,22.8
Animalia,Reptilia,Indian black turtle,760.0,40.0
Animalia,Reptilia,Brown roofed turtle,919.0,13.8
Animalia,Reptilia,Furrowed wood turtle,731.5,19.3
Animalia,Reptilia,Thick-necked turtle,940.0,16.7
Animalia,Reptilia,Narrow-bridged musk turtle,200.0,16.1
Animalia,Reptilia,Striped mud turtle,143.0,49.6
Animalia,Reptilia,Herrera's mud turtle,486.0,19.5
Animalia,Reptilia,Mexican mud turtle,474.4,18.5
Animalia,Reptilia,Scorpion mud turtle,266.0,44.7
Animalia,Reptilia,Sonoran mud turtle,326.0,36.5
Animalia,Reptilia,Common mud turtle,154.7,40.0
Animalia,Reptilia,Pacific Coast giant musk turtle,900.0,26.3
Animalia,Reptilia,Mexican giant musk turtle,4200.0,33.5
Animalia,Reptilia,"Razor-backed musk turtle, or Keel-backed musk turtle",248.0,29.3
Animalia,Reptilia,Loggerhead musk turtle,154.5,23.9
Animalia,Reptilia,Stinkpot,137.9,54.8
Animalia,Reptilia,Helmeted turtle,2273.0,20.1
Animalia,Reptilia,South American river turtle,25800.0,25.3
Animalia,Reptilia,Aldabra tortoise,117200.0,152.0
Animalia,Reptilia,Radiated tortoise,10217.0,32.8
Animalia,Reptilia,African spurred tortoise,43000.0,54.3
Animalia,Reptilia,Indian star tortoise,4225.0,24.3
Animalia,Reptilia,Desert tortoise,2784.0,62.8
Animalia,Reptilia,Berlandier's tortoise,1792.0,30.7
Animalia,Reptilia,Parrot-beaked tortoise,229.4,28.6
Animalia,Reptilia,Travancore tortoise,1680.0,32.9
Animalia,Reptilia,"Bell's hinge-back tortoise, or Hingeback tortoise",1202.0,26.5
Animalia,Reptilia,Pancake tortoise,391.25,25.9
Animalia,Reptilia,"Asian brown tortoise, or East Indian upland tortoise",26000.0,19.9
Animalia,Reptilia,Leopard tortoise,20000.0,30.0
Animalia,Reptilia,Mediterranean spur-thighed tortoise,1430.0,127.0
Animalia,Reptilia,Egyptian tortoise,440.0,21.0
Animalia,Reptilia,Marginated tortoise,1918.0,21.2
Animalia,Reptilia,Florida softshell turtle,23463.0,26.2
Animalia,Reptilia,Spiny softshell turtle,4765.0,25.2
Animalia,Reptilia,Indian flapshell turtle,1444.5,17.8
Animalia,Reptilia,African softshell turtle,10818.0,50.6
Animalia,Teleostei,European eel,3629.45,88.0
Animalia,Teleostei,Shortfin eel,4100.0,32.0
Animalia,Teleostei,New Zealand longfin eel,13000.0,60.0
Animalia,Teleostei,Marbled eel,11275.0,40.0
Animalia,Teleostei,African longfin eel,412.5,20.0
Animalia,Teleostei,Long-finned eel,11000.0,15.0
Animalia,Teleostei,Speckled longfin eel,8965.0,41.0
Animalia,Teleostei,American eel,4031.5,50.0
Animalia,Teleostei,Dusky sea garfish,330.0,10.0
Animalia,Teleostei,Orange roughy,3850.0,149.0
Animalia,Teleostei,Spot-tail,165.0,5.0
Animalia,Teleostei,Silversides,1100.0,5.0
Animalia,Teleostei,Tiger fish,15400.0,8.0
Animalia,Teleostei,Sharptooth tetra,1.1,3.0
Animalia,Teleostei,Pirapitinga,13750.0,28.0
Animalia,Teleostei,Nile distichodus,3410.0,7.5
Animalia,Teleostei,Pike characid,2200.0,5.0
Animalia,Teleostei,Blueback shad,110.0,8.0
Animalia,Teleostei,Twaite shad,825.0,25.0
Animalia,Teleostei,Alice shad,2200.0,10.0
Animalia,Teleostei,Caspian shad,65.0,7.0
Animalia,Teleostei,Blue herring,935.0,4.0
Animalia,Teleostei,Macedonia shad,330.0,10.0
Animalia,Teleostei,Alewife,110.0,8.0
Animalia,Teleostei,American shad,3025.0,13.0
Animalia,Teleostei,American gizzard shad,1089.0,6.0
Animalia,Teleostei,Round sardinella,125.95,7.0
Animalia,Teleostei,Indian oil sardine,110.0,4.0
Animalia,Teleostei,Pacific sardine,267.3,25.0
Animalia,Teleostei,River carpsucker,2524.5,10.0
Animalia,Teleostei,Quillback,1617.0,11.0
Animalia,Teleostei,Longnose sucker,1800.0,20.0
Animalia,Teleostei,White sucker,1617.0,12.0
Animalia,Teleostei,Cui-ui,1496.0,41.0
Animalia,Teleostei,Northern hog sucker,700.0,11.0
Animalia,Teleostei,Smallmouth buffalo,20515.0,39.0
Animalia,Teleostei,Bigmouth buffalo,17545.0,112.0
Animalia,Teleostei,Black buffalo,15785.0,24.0
Animalia,Teleostei,Spotted sucker,676.5,6.0
Animalia,Teleostei,Silver redhorse,5940.0,10.0
Animalia,Teleostei,Hookfin redhorse,750.0,8.0
Animalia,Teleostei,River redhorse,3089.0,12.0
Animalia,Teleostei,Black redhorse,1250.0,10.0
Animalia,Teleostei,Golden redhorse,2244.0,11.0
Animalia,Teleostei,Shorthead redhorse,2194.5,9.0
Animalia,Teleostei,Asp,4950.0,11.0
Animalia,Teleostei,Papermouth,745.25,9.0
Animalia,Teleostei,Silver orfe,24750.0,21.0
Animalia,Teleostei,Common carp,10600.0,47.0
Animalia,Teleostei,Rednose labeo,1980.0,9.0
Animalia,Teleostei,Rohu,24750.0,10.0
Animalia,Teleostei,Smallmouth yellowfish,4310.35,12.0
Animalia,Teleostei,European chub,4400.0,22.0
Animalia,Teleostei,Bream,3305.5,23.0
Animalia,Teleostei,Sneep,825.0,15.0
Animalia,Teleostei,Ide,2200.0,29.8
Animalia,Teleostei,Common dace,550.0,16.0
Animalia,Teleostei,Dwarf altai osman,13.75,15.0
Animalia,Teleostei,Altai osman,5500.0,40.0
Animalia,Teleostei,Ziege,1100.0,11.0
Animalia,Teleostei,Kutum,2750.0,12.0
Animalia,Teleostei,Roach,1012.0,14.0
Animalia,Teleostei,Pearl roach,1153.35,19.0
Animalia,Teleostei,Tarpon,88550.0,55.0
Animalia,Teleostei,Oxeye,9900.0,44.0
Animalia,Teleostei,Northern pike,15620.0,30.0
Animalia,Teleostei,Muskellunge,17490.0,30.0
Animalia,Teleostei,Chain pickerel,2337.5,9.0
Animalia,Teleostei,Alaska blackfish,201.3,8.0
Animalia,Teleostei,Cusk,16500.0,20.0
Animalia,Teleostei,Saffron cod,605.0,12.0
Animalia,Teleostei,Alaska pollock,770.0,15.0
Animalia,Teleostei,Pacific cod,12485.0,18.0
Animalia,Teleostei,Atlantic cod,52800.0,25.0
Animalia,Teleostei,Burbot,18700.0,20.0
Animalia,Teleostei,Haddock,9240.0,20.0
Animalia,Teleostei,English whiting,1700.0,20.0
Animalia,Teleostei,Blue whiting,456.5,20.0
Animalia,Teleostei,Blue ling,16500.0,25.0
Animalia,Teleostei,Greater forkbeard,1947.0,20.0
Animalia,Teleostei,European pollock,9955.0,8.0
Animalia,Teleostei,Pollock,17600.0,25.0
Animalia,Teleostei,Mud hake,11550.0,23.0
Animalia,Teleostei,Rock grenadier,929.5,54.0
Animalia,Teleostei,Blue grenadier,825.0,25.0
Animalia,Teleostei,Silver hake,1265.0,12.0
Animalia,Teleostei,European hake,8250.0,20.0
Animalia,Teleostei,North pacific hake,654.5,15.0
Animalia,Teleostei,Milkfish,7700.0,15.0
Animalia,Teleostei,Goosefish,12430.0,30.0
Animalia,Teleostei,Anglerfish,31735.0,24.0
Animalia,Teleostei,Yellow-eye mullet,522.5,7.0
Animalia,Teleostei,Thicklipped mullet,2475.0,25.0
Animalia,Teleostei,Thinlip mullet,1595.0,10.0
Animalia,Teleostei,Striped mullet,4400.0,16.0
Animalia,Teleostei,Australian rockling,13750.0,30.0
Animalia,Teleostei,Goldeye,946.0,14.0
Animalia,Teleostei,Mooneye,498.85,10.0
Animalia,Teleostei,Mormyrids,2915.0,6.0
Animalia,Teleostei,Mormyrid,4.0,29.0
Animalia,Teleostei,Arawana,2530.0,6.5
Animalia,Teleostei,Miss Kingsley's climbing perch,68.75,8.7
Animalia,Teleostei,Australian ruff,440.0,7.0
Animalia,Teleostei,Australian salmon,5170.0,26.0
Animalia,Teleostei,Western Australian salmon,5775.0,9.0
Animalia,Teleostei,Atlantic pomfret,3300.0,9.0
Animalia,Teleostei,Sickle pomfret,6050.0,8.0
Animalia,Teleostei,Blue runner,2777.5,11.0
Animalia,Teleostei,White trevally,9955.0,49.0
Animalia,Teleostei,Rock bass,824.0,18.0
Animalia,Teleostei,Sacramento perch,792.0,6.0
Animalia,Teleostei,Flier,308.0,5.0
Animalia,Teleostei,Redbreast sunfish,467.25,8.0
Animalia,Teleostei,Green sunfish,529.0,9.0
Animalia,Teleostei,Bluegill,1181.25,10.0
Animalia,Teleostei,Longear sunfish,434.5,6.0
Animalia,Teleostei,Redear sunfish,121.0,7.0
Animalia,Teleostei,Smallmouth bass,2975.5,26.0
Animalia,Teleostei,Spotted bass,2557.0,7.0
Animalia,Teleostei,Largemouth bass,5527.5,23.0
Animalia,Teleostei,White crappie,1292.5,10.0
Animalia,Teleostei,Black crappie,1496.0,15.0
Animalia,Teleostei,Antarctic butterfish,33000.0,15.0
Animalia,Teleostei,Whario,2200.0,15.0
Animalia,Teleostei,Common snook,13365.0,7.0
Animalia,Teleostei,Snook,110000.0,7.8
Animalia,Teleostei,Three spotted tilapia,2590.5,13.0
Animalia,Teleostei,Mozambique mouth-breeder,621.5,11.0
Animalia,Teleostei,Nile tilapia,2400.0,9.0
Animalia,Teleostei,Green happy,1215.5,7.0
Animalia,Teleostei,Pink happy,1595.0,7.0
Animalia,Teleostei,Thinface cichlid,1375.0,9.0
Animalia,Teleostei,Rainbow happy,550.0,6.0
Animalia,Teleostei,Purpleface largemouth,825.0,6.0
Animalia,Teleostei,Redbreast tilapia,1375.0,7.0
Animalia,Teleostei,Redbelly tilapia,165.0,7.0
Animalia,Teleostei,Common dolphinfish,22000.0,4.0
Animalia,Teleostei,Barred surfperch,1100.0,9.0
Animalia,Teleostei,Black perch,385.0,10.0
Animalia,Teleostei,Silver gemfish,8800.0,16.0
Animalia,Teleostei,Atun,3300.0,10.0
Animalia,Teleostei,Bluestriped grunt,412.5,12.0
Animalia,Teleostei,Pigfish,500.0,4.0
Animalia,Teleostei,Atlantic sailfish,55110.0,13.0
Animalia,Teleostei,"Atlantic blue marlin, or Black spearfish",93500.0,28.0
Animalia,Teleostei,Ballan wrasse,2392.5,29.0
Animalia,Teleostei,Tautog,6215.0,34.0
Animalia,Teleostei,Cunner,550.0,6.0
Animalia,Teleostei,Lipper,5280.0,22.0
Animalia,Teleostei,North-West snapper,4620.0,27.0
Animalia,Teleostei,Blue-gray snapper,8470.0,21.0
Animalia,Teleostei,Mutton snapper,8580.0,29.0
Animalia,Teleostei,Mangrove jack,4785.0,18.0
Animalia,Teleostei,Red bass,6875.0,13.0
Animalia,Teleostei,Northern red snapper,12540.0,57.0
Animalia,Teleostei,Malabar blood snapper,4350.5,31.0
Animalia,Teleostei,Pacific red snapper,3195.5,7.2
Animalia,Teleostei,Caribbean red snapper,5500.0,18.0
Animalia,Teleostei,Saddletailed sea perch,12650.0,13.0
Animalia,Teleostei,Emperor snapper,17985.0,35.0
Animalia,Teleostei,Lane snapper,1941.5,10.0
Animalia,Teleostei,Yellowtail snapper,2238.5,14.0
Animalia,Teleostei,Crimson jobfish,4484.7,18.0
Animalia,Teleostei,Sharptooth jobfish,1210.0,11.0
Animalia,Teleostei,Vermilion snapper,1743.5,10.0
Animalia,Teleostei,Red tilefish,687.5,12.0
Animalia,Teleostei,Blueline tilefish,3850.0,15.0
Animalia,Teleostei,Ocean whitefish,3168.0,13.0
Animalia,Teleostei,Blue tilefish,16500.0,35.0
Animalia,Teleostei,European seabass,6600.0,15.0
Animalia,Teleostei,White perch,1210.0,7.0
Animalia,Teleostei,White bass,1537.25,9.0
Animalia,Teleostei,Yellow bass,6050.0,6.0
Animalia,Teleostei,Striped bass,31350.0,30.0
Animalia,Teleostei,Red mullet,550.0,10.0
Animalia,Teleostei,Japanese threadfin-bream,327.8,8.0
Animalia,Teleostei,Antarctic toothfish,44000.0,31.0
Animalia,Teleostei,Marbled rockcod,5500.0,16.0
Animalia,Teleostei,Antarctic silverfish,110.0,20.0
Animalia,Teleostei,Murray cod,62000.0,48.0
Animalia,Teleostei,Golden perch,13200.0,20.0
Animalia,Teleostei,Yellow perch,1055.25,12.0
Animalia,Teleostei,Eurasian perch,2612.5,22.0
Animalia,Teleostei,Sauger,2000.0,18.0
Animalia,Teleostei,Zander,11000.0,16.0
Animalia,Teleostei,Walleye,11000.0,29.0
Animalia,Teleostei,King threadfin,24750.0,20.0
Animalia,Teleostei,Hapuka,55000.0,60.0
Animalia,Teleostei,Giant sea bass,140580.0,75.0
Animalia,Teleostei,Bluefish,7920.0,9.0
Animalia,Teleostei,Bulleye,1144.0,9.0
Animalia,Teleostei,Cobia,37400.0,15.0
Animalia,Teleostei,Heavybeak parrotfish,2200.0,14.0
Animalia,Teleostei,Freshwater drum,13292.5,13.0
Animalia,Teleostei,Southern meagre,41250.0,30.0
Animalia,Teleostei,White seabass,22550.0,20.0
Animalia,Teleostei,Black croaker,385.0,20.0
Animalia,Teleostei,Spotted seatrout,4356.0,18.0
Animalia,Teleostei,Spot,247.5,4.0
Animalia,Teleostei,California corbina,2145.0,8.0
Animalia,Teleostei,Atlantic croaker,1419.0,5.0
Animalia,Teleostei,Black drum,28215.0,43.0
Animalia,Teleostei,Red drum,24750.0,50.0
Animalia,Teleostei,"Kawakawa, or Little tunny",7700.0,10.0
Animalia,Teleostei,Skipjack tuna,18975.0,12.0
Animalia,Teleostei,Atlantic bonito,6050.0,5.0
Animalia,Teleostei,Chub mackerel,1595.0,18.0
Animalia,Teleostei,Atlantic mackerel,1870.0,17.0
Animalia,Teleostei,King mackerel,24750.0,14.0
Animalia,Teleostei,Spanish mackerel,3239.5,5.0
Animalia,Teleostei,West African Spanish mackerel,3300.0,5.0
Animalia,Teleostei,Albacore,33165.0,13.0
Animalia,Teleostei,Southern bluefin tuna,143000.0,20.0
Animalia,Teleostei,Bigeye tuna,115500.0,11.0
Animalia,Teleostei,Horse mackerel,376200.0,15.0
Animalia,Teleostei,Black sea bass,2365.0,20.0
Animalia,Teleostei,Areolate grouper,770.0,15.0
Animalia,Teleostei,Brownspotted grouper,3850.0,29.0
Animalia,Teleostei,Orange-spotted grouper,8250.0,22.0
Animalia,Teleostei,Speckled hind,16500.0,25.0
Animalia,Teleostei,Yellowedge grouper,10230.0,32.0
Animalia,Teleostei,Dusky grouper,33000.0,50.0
Animalia,Teleostei,Snowy grouper,16500.0,27.0
Animalia,Teleostei,Nassau grouper,13750.0,16.0
Animalia,Teleostei,Yellowmouth grouper,5610.0,41.0
Animalia,Teleostei,Scamp,7810.0,21.0
Animalia,Teleostei,Kelp bass,3850.0,31.0
Animalia,Teleostei,Barred sand bass,3289.0,31.0
Animalia,Teleostei,Bluedotted coraltrout,12980.0,26.0
Animalia,Teleostei,Painted comber,8250.0,60.0
Animalia,Teleostei,Spotted whiting,2640.0,15.0
Animalia,Teleostei,Sand whiting,770.0,22.0
Animalia,Teleostei,Surf bream,2475.0,12.0
Animalia,Teleostei,Southern black bream,2200.0,29.0
Animalia,Teleostei,Sheepshead,2000.0,20.0
Animalia,Teleostei,Knobbed porgy,1446.5,17.0
Animalia,Teleostei,Squirefish,11000.0,35.0
Animalia,Teleostei,White seabream,1000.0,21.0
Animalia,Teleostei,West coast seabream,10615.0,50.0
Animalia,Teleostei,Blackspot seabream,2200.0,15.0
Animalia,Teleostei,Gilthead seabream,9460.0,11.0
Animalia,Teleostei,Black sea bream,671.0,15.0
Animalia,Teleostei,Scup,1133.0,19.0
Animalia,Teleostei,Pacific barracuda,6600.0,11.0
Animalia,Teleostei,Great barracuda,24000.0,14.0
Animalia,Teleostei,Atlantic cutlassfish,2750.0,15.0
Animalia,Teleostei,Ocean pout,2989.8,18.0
